"periode_data","tahun","nama_provinsi","nama_kabupaten_kota","nama_kecamatan","jenis_kelamin","jumlah","keterangan"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","KALI DERES","Perempuan","790","Antar Kecamatan dalam 1 Kota"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","KALI DERES","Laki-laki","389","Antar Kota dalam 1 Provinsi"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","KALI DERES","Perempuan","444","Antar Kota dalam 1 Provinsi"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","PALMERAH","Laki-laki","330","Antar Kelurahan dalam 1 Kecamatan"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","PALMERAH","Perempuan","304","Antar Kelurahan dalam 1 Kecamatan"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","PALMERAH","Laki-laki","557","Antar Kecamatan dalam 1 Kota"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","PALMERAH","Perempuan","608","Antar Kecamatan dalam 1 Kota"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","PALMERAH","Laki-laki","713","Antar Kota dalam 1 Provinsi"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","PALMERAH","Perempuan","692","Antar Kota dalam 1 Provinsi"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","KEMBANGAN","Laki-laki","464","Antar Kelurahan dalam 1 Kecamatan"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","KEMBANGAN","Perempuan","490","Antar Kelurahan dalam 1 Kecamatan"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","KEMBANGAN","Laki-laki","588","Antar Kecamatan dalam 1 Kota"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","KEMBANGAN","Perempuan","592","Antar Kecamatan dalam 1 Kota"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","KEMBANGAN","Laki-laki","557","Antar Kota dalam 1 Provinsi"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","KEMBANGAN","Perempuan","626","Antar Kota dalam 1 Provinsi"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","TEBET","Laki-laki","391","Antar Kelurahan dalam 1 Kecamatan"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","TEBET","Perempuan","357","Antar Kelurahan dalam 1 Kecamatan"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","TEBET","Laki-laki","664","Antar Kecamatan dalam 1 Kota"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","TEBET","Perempuan","745","Antar Kecamatan dalam 1 Kota"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","TEBET","Laki-laki","970","Antar Kota dalam 1 Provinsi"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","TEBET","Perempuan","985","Antar Kota dalam 1 Provinsi"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","SETIA BUDI","Laki-laki","223","Antar Kelurahan dalam 1 Kecamatan"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","SETIA BUDI","Perempuan","260","Antar Kelurahan dalam 1 Kecamatan"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","SETIA BUDI","Laki-laki","584","Antar Kecamatan dalam 1 Kota"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","SETIA BUDI","Perempuan","597","Antar Kecamatan dalam 1 Kota"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","SETIA BUDI","Laki-laki","563","Antar Kota dalam 1 Provinsi"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","SETIA BUDI","Perempuan","598","Antar Kota dalam 1 Provinsi"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","MAMPANG PRAPATAN","Laki-laki","152","Antar Kelurahan dalam 1 Kecamatan"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","MAMPANG PRAPATAN","Perempuan","198","Antar Kelurahan dalam 1 Kecamatan"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","MAMPANG PRAPATAN","Laki-laki","718","Antar Kecamatan dalam 1 Kota"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","MAMPANG PRAPATAN","Perempuan","778","Antar Kecamatan dalam 1 Kota"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","MAMPANG PRAPATAN","Laki-laki","455","Antar Kota dalam 1 Provinsi"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","MAMPANG PRAPATAN","Perempuan","428","Antar Kota dalam 1 Provinsi"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","PASAR MINGGU","Laki-laki","410","Antar Kelurahan dalam 1 Kecamatan"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","PASAR MINGGU","Perempuan","475","Antar Kelurahan dalam 1 Kecamatan"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","PASAR MINGGU","Laki-laki","1165","Antar Kecamatan dalam 1 Kota"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","PASAR MINGGU","Perempuan","1235","Antar Kecamatan dalam 1 Kota"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","PASAR MINGGU","Laki-laki","600","Antar Kota dalam 1 Provinsi"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","PASAR MINGGU","Perempuan","614","Antar Kota dalam 1 Provinsi"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN LAMA","Laki-laki","475","Antar Kelurahan dalam 1 Kecamatan"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN LAMA","Perempuan","515","Antar Kelurahan dalam 1 Kecamatan"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN LAMA","Laki-laki","701","Antar Kecamatan dalam 1 Kota"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN LAMA","Perempuan","724","Antar Kecamatan dalam 1 Kota"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN LAMA","Laki-laki","676","Antar Kota dalam 1 Provinsi"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN LAMA","Perempuan","719","Antar Kota dalam 1 Provinsi"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","CILANDAK","Laki-laki","217","Antar Kelurahan dalam 1 Kecamatan"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","CILANDAK","Perempuan","252","Antar Kelurahan dalam 1 Kecamatan"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","CILANDAK","Laki-laki","623","Antar Kecamatan dalam 1 Kota"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","CILANDAK","Perempuan","682","Antar Kecamatan dalam 1 Kota"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","CILANDAK","Laki-laki","276","Antar Kota dalam 1 Provinsi"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","CILANDAK","Perempuan","324","Antar Kota dalam 1 Provinsi"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","Laki-laki","185","Antar Kelurahan dalam 1 Kecamatan"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","Perempuan","168","Antar Kelurahan dalam 1 Kecamatan"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","Laki-laki","803","Antar Kecamatan dalam 1 Kota"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","Perempuan","846","Antar Kecamatan dalam 1 Kota"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","Laki-laki","363","Antar Kota dalam 1 Provinsi"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","Perempuan","347","Antar Kota dalam 1 Provinsi"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","PANCORAN","Laki-laki","190","Antar Kelurahan dalam 1 Kecamatan"
"2015","2015","PROVINSI DKI JAKARTA","KAB.ADM.KEP.SERIBU","KEP. SERIBU UTR","Laki-laki","25","Antar Kelurahan dalam 1 Kecamatan"
"2015","2015","PROVINSI DKI JAKARTA","KAB.ADM.KEP.SERIBU","KEP. SERIBU UTR","Perempuan","16","Antar Kelurahan dalam 1 Kecamatan"
"2015","2015","PROVINSI DKI JAKARTA","KAB.ADM.KEP.SERIBU","KEP. SERIBU UTR","Laki-laki","15","Antar Kecamatan dalam 1 Kota"
"2015","2015","PROVINSI DKI JAKARTA","KAB.ADM.KEP.SERIBU","KEP. SERIBU UTR","Perempuan","16","Antar Kecamatan dalam 1 Kota"
"2015","2015","PROVINSI DKI JAKARTA","KAB.ADM.KEP.SERIBU","KEP. SERIBU UTR","Laki-laki","31","Antar Kota dalam 1 Provinsi"
"2015","2015","PROVINSI DKI JAKARTA","KAB.ADM.KEP.SERIBU","KEP. SERIBU UTR","Perempuan","31","Antar Kota dalam 1 Provinsi"
"2015","2015","PROVINSI DKI JAKARTA","KAB.ADM.KEP.SERIBU","KEP. SERIBU SLT","Laki-laki","8","Antar Kelurahan dalam 1 Kecamatan"
"2015","2015","PROVINSI DKI JAKARTA","KAB.ADM.KEP.SERIBU","KEP. SERIBU SLT","Perempuan","10","Antar Kelurahan dalam 1 Kecamatan"
"2015","2015","PROVINSI DKI JAKARTA","KAB.ADM.KEP.SERIBU","KEP. SERIBU SLT","Laki-laki","7","Antar Kecamatan dalam 1 Kota"
"2015","2015","PROVINSI DKI JAKARTA","KAB.ADM.KEP.SERIBU","KEP. SERIBU SLT","Perempuan","5","Antar Kecamatan dalam 1 Kota"
"2015","2015","PROVINSI DKI JAKARTA","KAB.ADM.KEP.SERIBU","KEP. SERIBU SLT","Laki-laki","27","Antar Kota dalam 1 Provinsi"
"2015","2015","PROVINSI DKI JAKARTA","KAB.ADM.KEP.SERIBU","KEP. SERIBU SLT","Perempuan","21","Antar Kota dalam 1 Provinsi"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA PUSAT","GAMBIR","Laki-laki","95","Antar Kelurahan dalam 1 Kecamatan"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA PUSAT","GAMBIR","Perempuan","88","Antar Kelurahan dalam 1 Kecamatan"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA PUSAT","GAMBIR","Laki-laki","129","Antar Kecamatan dalam 1 Kota"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA PUSAT","GAMBIR","Perempuan","120","Antar Kecamatan dalam 1 Kota"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA PUSAT","GAMBIR","Laki-laki","884","Antar Kota dalam 1 Provinsi"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA PUSAT","GAMBIR","Perempuan","861","Antar Kota dalam 1 Provinsi"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA PUSAT","SAWAH BESAR","Laki-laki","152","Antar Kelurahan dalam 1 Kecamatan"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA PUSAT","SAWAH BESAR","Perempuan","160","Antar Kelurahan dalam 1 Kecamatan"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA PUSAT","SAWAH BESAR","Laki-laki","158","Antar Kecamatan dalam 1 Kota"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA PUSAT","SAWAH BESAR","Perempuan","179","Antar Kecamatan dalam 1 Kota"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA PUSAT","SAWAH BESAR","Laki-laki","784","Antar Kota dalam 1 Provinsi"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA PUSAT","SAWAH BESAR","Perempuan","948","Antar Kota dalam 1 Provinsi"
