Title,Bedrooms,Bathrooms,Carports,Agent,Price_num,Installment_num,Land_sqm,Building_sqm,Area,City,Price_sqm,property_type,price_per_land_m2,price_segment,land_building_ratio,Price_sqm_M,query,lat,lon
"Jual Cepat Rumah Cantik di Loka Indah, Kalibata",5,5,3,Komala Dewi,11500000000.0,48000000,450,600,Kalibata,Jakarta Selatan,19166666.67,Residential,25555556.0,10–50B,0.75,19.16666667,"Kalibata, Jakarta Selatan, Indonesia",-6.265332,106.8351642
"Rumah Mewah Baru (New) 2,5Lt di Pondok Indah,JakSel",7,8,5,Ai Fi,48000000000.0,203000000,627,1050,Pondok Indah,Jakarta Selatan,45714285.71,Residential,76555024.0,10–50B,0.6,45.71428571,"Pondok Indah, Jakarta Selatan, Indonesia",-6.2756433,106.7828144
"Dijjal Rumah Mewah!! Di Pondok Indah, Lt 562 M¬≤ Lb 324m¬≤",10,11,4,Nola,21500000000.0,91000000,562,324,Pondok Indah,Jakarta Selatan,66358024.69,Residential,38256228.0,10–50B,1.73,66.35802469,"Pondok Indah, Jakarta Selatan, Indonesia",-6.2756433,106.7828144
"Dijual Rumah Bagus Luas 912m¬≤!! Di Kemang, Kemang",5,4,2,Nola,26500000000.0,112000000,912,700,Kemang,Jakarta Selatan,37857142.86,Residential,29057018.0,10–50B,1.3,37.857142859999996,"Kemang, Jakarta Selatan, Indonesia",-6.2611108,106.8153262
"Dijual Rumah Tua Terawat, Lingkungan Tenang, Bebas Banjir, Keamanan 24 Jam",5,4,5,Ilman,62000000000.0,262000000,1778,700,Pondok Indah,Jakarta Selatan,88571428.57,Residential,34870641.0,> 50B,2.54,88.57142857,"Pondok Indah, Jakarta Selatan, Indonesia",-6.2756433,106.7828144
Rumah Mewah Murah Pejaten Barat Bebas Banjir dengan Kolam Renang,3,3,2,Wendy Martfriansyah Asriel,10900000000.0,46000000,404,350,Pejaten,Jakarta Selatan,31142857.14,Residential,26980198.0,10–50B,1.15,31.14285714,"Pejaten, Jakarta Selatan, Indonesia",-6.2784107,106.8297531
"Siapa yg cepat Rumah bagus dijual Area Kemang dalam , harga Dibawah pasaran",6,5,3,Indra Wibisono,22000000000.0,93000000,854,650,Kemang,Jakarta Selatan,33846153.85,Residential,25761124.0,10–50B,1.31,33.84615385,"Kemang, Jakarta Selatan, Indonesia",-6.2611108,106.8153262
"Rumah 2 lantai mewah baru, Cipedak Jagakarsa Jakarta Selatan. SHM. Akses mudah kemana-mana. Cukup 5 menitan dari jalan Raya M. Kahfi Jagakarsa..Desain American Classic",3,2,2,"Nenny Thoiyibah Amd, Cpb",1140000000.0,4000000,60,72,Cipedak,Jakarta Selatan,15833333.33,Residential,19000000.0,1–2B,0.83,15.83333333,"Cipedak, Jakarta Selatan, Indonesia",-6.3544097,106.8023899
"Rumah Siap Huni Area Veteran, 300 Meter Ke Rs Suyoto Veteran",5,4,3,Efendi Tobing,7500000000.0,31000000,500,362,Veteran,Jakarta Selatan,20718232.04,Residential,15000000.0,5–10B,1.38,20.71823204,"Veteran, Jakarta Selatan, Indonesia",-6.267199,106.7678909
Rumah 2 Lantai & Siap Huni Dalam Komplek,5,3,1,Trie Suri,2400000000.0,10000000,135,150,Sektor 3A-Bintaro,Jakarta Selatan,16000000.0,Residential,17777778.0,2–5B,0.9,16.0,"Sektor 3A-Bintaro, Jakarta Selatan, Indonesia",-6.269965,106.7549023
"Cepat!!! Rumah Apik Siap Huni Di Bintaro Sektor 6, Harga Nego (lkt)",4,3,1,Agustri Wahyuni,3500000000.0,14000000,120,160,Sektor 6-Bintaro,Jakarta Selatan,21875000.0,Residential,29166667.0,2–5B,0.75,21.875,"Sektor 6-Bintaro, Jakarta Selatan, Indonesia",-6.269965,106.7549023
Rumah Luas 760 Mtr di Jl Utama Asem Baris 200 Meter Stasiun Tebet,7,4,4,Yolanda Lanes,16000000000.0,67000000,760,1020,Blok S,Jakarta Selatan,15686274.51,Residential,21052632.0,10–50B,0.75,15.68627451,"Blok S, Jakarta Selatan, Indonesia",-6.2358263,106.8149185
